"Id";"Designator";"Footprint";"Quantity";"Designation";"Supplier and ref";
1;"H4,H3,H2,H1";"MountingHole_5.3mm_M5_ISO7380";4;"MountingHole";;;
2;"D4";"D_DO-41_SOD81_P10.16mm_Horizontal";1;"1N4001";;;
3;"U1";"Arduino_Mega_2560_Without_Bottom";1;"Arduino_Mega_2560_Without_Bottom";;;
4;"U3";"HC12_RF_Module";1;"HC12";;;
5;"U2";"PN532_SPI_UART_Breakout_Board";1;"PN532_SPI_Uart_Breakout_Board";;;
6;"SW1";"SW_DIP_SPSTx10_Slide_9.78x27.58mm_W7.62mm_P2.54mm";1;"SW_DIP_x10";;;
7;"R3,R2,R1";"R_Axial_DIN0207_L6.3mm_D2.5mm_P10.16mm_Horizontal";3;"330R";;;
8;"D3";"LED_D5.0mm";1;"GREEN";;;
9;"D2";"LED_D5.0mm";1;"YELLOW";;;
10;"D1";"LED_D5.0mm";1;"RED";;;
