"Reference","Value","Datasheet","Footprint","Qty","DNP"
"D1","RED","~","LED_THT:LED_D5.0mm","1",""
"D2","YELLOW","~","LED_THT:LED_D5.0mm","1",""
"D3","GREEN","~","LED_THT:LED_D5.0mm","1",""
"D4","1N4001","http://www.vishay.com/docs/88503/1n4001.pdf","Diode_THT:D_DO-41_SOD81_P10.16mm_Horizontal","1",""
"H5,H6,H7,H8","MountingHole","~","MountingHole:MountingHole_3.2mm_M3_ISO7380","4",""
"J1,J2,J3,J4,J5,J6,J7,J8,J9,J10","Screw_Terminal_01x03","~","sbb:Inductive_Sensor","10",""
"R1,R2,R3","330R","~","Resistor_THT:R_Axial_DIN0207_L6.3mm_D2.5mm_P10.16mm_Horizontal","3",""
"R4,R7,R10,R13,R16,R19,R22,R25,R28,R31","1k","~","Resistor_THT:R_Axial_DIN0207_L6.3mm_D2.5mm_P10.16mm_Horizontal","10",""
"R5,R6,R8,R9,R11,R12,R14,R15,R17,R18,R20,R21,R23,R24,R26,R27,R29,R30,R32,R33","2.2k","~","Resistor_THT:R_Axial_DIN0207_L6.3mm_D2.5mm_P10.16mm_Horizontal","20",""
"SW1","SW_DIP_x10","~","Button_Switch_THT:SW_DIP_SPSTx10_Slide_9.78x27.58mm_W7.62mm_P2.54mm","1",""
"U1","Arduino_Mega_2560_Without_Bottom","","sbb:Arduino_Mega_2560_Without_Bottom","1",""
"U2","74LS32","http://www.ti.com/lit/gpn/sn74LS32","Package_DIP:DIP-14_W7.62mm_LongPads","1",""
"U3","HC12","","sbb:HC12_RF_Module","1",""
